,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
14658,GA,Putnam County Sheriff's Office,"P.O. Box 3637  Eatonton, GA 31024",706-485-8557,35.0,"18,812",Sheriff
14659,GA,Quitman County Sheriff's Office,"P.O. Box 338111 MAIN ST SUITE 1 Georgetown, GA 39854",912-334-3726,7.0,"2,598",Sheriff
14662,GA,Rabun County Sheriff's Office,"25 Courthouse Sq Ste 301  Clayton, GA 30525",706-782-3612,22.0,"15,050",Sheriff
14664,GA,Randolph County Sheriff's Office,"P.O. Box 506  Cuthbert, GA 39840",912-732-2525,7.0,"7,791",Sheriff
14665,GA,Ray City Police Department,"Post Office Box 128  Ray City, GA 31645",912-455-4921,2.0,746,Local Police
14667,GA,Reidsville Police Department,"Post Office Box 730  Reidsville, GA",912-557-4340,7.0,"2,235",Local Police
14668,GA,Remerton Police Department,"1759 Poplar Street  Remerton, GA 31601",912-247-2329,8.0,847,Local Police
14670,GA,Reynolds Police Department,"P.O. Box 386  Reynolds, GA 31076",912-847-3435,5.0,"1,036",Local Police
14672,GA,Richland Police Department,"110 Wall Street  Richland, GA 31825",912-887-3530,3.0,"1,794",Local Police
14676,GA,Richmond Hill Police Department,"Post Office Box 250  Richmond Hill, GA 31324",912-756-5645,28.0,"6,959",Local Police
14677,GA,Rincon Police Department,"107 W 17TH STREET107 W 17TH STREET Rincon, GA 31326",912-826-5200,12.0,"4,376",Local Police
14678,GA,Ringgold Police Department,"150 Tennessee Street  Ringgold, GA 30736",706-935-3066,8.0,"2,422",Local Police
14679,GA,Riverdale Police Department,"6690 Church Street  Riverdale, GA 30274",770-996-3382,44.0,"12,478",Local Police
14681,GA,Rochelle Police Department,"Post Office Box 156  Rochelle, GA 31079",912-365-2246,4.0,"1,415",Local Police
14682,GA,Rockdale County Sheriff's Office,"911 Chambers Dr Nw  Conyers, GA 30012",770-918-6432,170.0,"70,111",Sheriff
14683,GA,Rockmart Police Department,"133 S. Marble  Rockmart, GA 30153",770-684-6558,18.0,"3,870",Local Police
14684,GA,Rome Police Department,"5 Government Plaza, Suite 300  Rome, GA 30161",706-238-5111,94.0,"34,980",Local Police
14686,GA,Rossville Police Department,"Post Office Box 159  Rossville, GA 30741",706-866-1228,10.0,"3,511",Local Police
14688,GA,Roswell Police Department,"39 Hill Street  Roswell, GA 30075",770-640-4214,122.0,"79,334",Local Police
14689,GA,Royston Police Department,"830 Church Street  Royston, GA 30662",706-245-6196,15.0,"2,493",Local Police
14690,GA,Sale City Police Department,"Post Office Box 67  Sale City, GA 31784",912-336-7885,1.0,319,Local Police
14691,GA,Sandersville Police Department,"P.O. Box 71  Sandersville, GA 31082",912-552-3121,18.0,"6,144",Local Police
14693,GA,Sardis Police Department,"P.O. Box 398  Sardis, GA 30456",912-569-4311,5.0,"1,171",Local Police
14696,GA,Savannah-Chatham Metropolitan Police Department,"Post Office Box 8032  Savannah, GA 31412",912-651-6688,534.0,"131,510",Local Police
14697,GA,Schley County Sheriff's Office,"P.O. Box 809  Ellaville, GA 31806",912-937-2101,4.0,"3,766",Sheriff
14699,GA,Screven Police Department,"200 Walker Street  Screven, GA 31560",912-579-2211,2.0,702,Local Police
14700,GA,Seminole County Sheriff's Office,"208 Court St  Donalsonville, GA 39845",912-524-5115,11.0,"9,369",Sheriff
14701,GA,Senoia Police Department,"Post Office Box 310  Senoia, GA 30276",770-599-3679,10.0,"1,738",Local Police
14702,GA,Sky Valley Police Department,"P.O. Box 93  Dillard, GA 30537",706-746-5584,5.0,221,Local Police
14706,GA,Smyrna Police Department,"2646 Atlanta Road  Smyrna, GA 30080",770-434-9481,93.0,"40,999",Local Police
14707,GA,Snellville Police Department,"2686 Springdale Road  Snellville, GA 30039",770-985-3555,49.0,"15,351",Local Police
14712,GA,Spalding County Sheriff's Office,"401 Justice Blvd  Griffin, GA 30224",770-227-9406,110.0,"58,417",Sheriff
14713,GA,Sparks Police Department,"Post Office Box 186  Sparks, GA 31647",912-549-8211,3.0,"1,755",Local Police
14714,GA,Sparta Police Department,"114 Broad Street  Sparta, GA 31087",706-444-5777,5.0,"1,522",Local Police
14715,GA,Springfield Police Department,"Post Office Box 1  Springfield, GA 31329",912-759-3061,6.0,"1,821",Local Police
14716,GA,St Marys Police Department,"563 Point Peter Road  St Marys, GA 31558",912-882-4488,32.0,"13,761",Local Police
14717,GA,Stapleton Police Department,"P.O. Box 218  Stapleton, GA 30823",706-547-2828,1.0,318,Local Police
14718,GA,Statesboro Police Department,"22 W. Grady Street  Statesboro, GA 30458",912-764-9911,60.0,"22,698",Local Police
14719,GA,Statham Police Department,"Post Office Box 28  Statham, GA 30666",770-725-5992,5.0,"2,040",Local Police
14721,GA,Stephens County Sheriff's Office,"70 N Alexander St, Ste 205  Toccoa, GA 30577",706-886-2525,31.0,"25,435",Sheriff
14722,GA,Stewart County Sheriff's Office,"P.O. Box 817  Lumpkin, GA 31815",912-838-4311,5.0,"5,252",Sheriff
14725,GA,Stone Mountain Police Department,"922 Main Street  Stone Mountain, GA 30083",770-469-0100,19.0,"7,145",Local Police
14726,GA,Summerville Police Department,"Post Office Box 180  Summerville, GA 30747",706-857-0912,17.0,"4,556",Local Police
14727,GA,Sumter County Sheriff's Office,"352 Mcmath Mill RdPO Box 726 Americus, GA 31719",912-924-4094,84.0,"33,200",Sheriff
14728,GA,Suwanee Police Department,"373 Highway 23  Suwanee, GA 30024",770-945-8995,36.0,"8,725",Local Police
14729,GA,Swainsboro Police Department,"P.O. Box 600  Swainsboro, GA 30401",912-237-2967,21.0,"6,943",Local Police
14730,GA,Sycamore Police Department,"2529 Us Hwy 41  Sycamore, GA 31790",912-567-4296,1.0,496,Local Police
14731,GA,Sylvania Police Department,"216 Mims Road  Sylvania, GA 30467",912-564-2056,9.0,"2,675",Local Police
14732,GA,Sylvester Police Department,"Post Office Box 368  Sylvester, GA 31791",912-776-8500,14.0,"5,990",Local Police
14733,GA,Talbot County Sheriff's Office,"P.O. Box 544  Talbotton, GA 31827",706-665-8681,8.0,"6,498",Sheriff
14734,GA,Talbotton Police Department,"Post Office Box 215  Talbotton, GA 31827",706-665-8542,3.0,"1,019",Local Police
14735,GA,Taliaferro County Sheriff's Office,"113 Monument St SePO Box 97 Crawfordville, GA 30631",706-456-2345,9.0,"2,077",Sheriff
14736,GA,Tallapoosa Police Department,"15 E. Alabama Street  Tallapoosa, GA 30176",770-574-7211,17.0,"2,789",Local Police
14737,GA,Tallulah Falls Police Department,"Post Office Box 56  Tallulah Falls, GA 30573",706-754-6040,1.0,164,Local Police
14738,GA,Tattnall County Sheriff's Office,"P.O. Box 545  Reidsville, GA 30453",912-557-6777,17.0,"22,305",Sheriff
14739,GA,Taylor County Sheriff's Office,"P.O. Box 6065 North Ivy St Butler, GA 31006",478-862-5451,10.0,"8,815",Sheriff
14740,GA,Telfair County Sheriff's Office,"128 E Oak St Ste 3  Mc Rae, GA 31055",912-868-6621,10.0,"11,794",Sheriff
14741,GA,Temple Police Department,"Post Office Box 160  Temple, GA 30179",770-562-3151,10.0,"2,383",Local Police
14743,GA,Terrell County Sheriff's Office,"P.O. Box 463, 513 South Main St  Dawson, GA 39842",912-995-4488,10.0,"10,970",Sheriff
14744,GA,Thomas County Sheriff's Office,"P.O. Box 588921 Smith Ave Thomasville, GA 31799",912-225-3300,47.0,"42,737",Sheriff
14746,GA,Thomasville Police Department,"P.O. Box 1540  Thomasville, GA 31799",912-227-7076,59.0,"18,162",Local Police
14747,GA,Thomspon Police Department,"Post Office Box 1017  Thomson, GA 30824",706-595-2166,13.0,"6,828",Local Police
14748,GA,Thunderbolt Police Department,"2821 River Dr.  Thunderbolt, GA 31404",912-354-3818,8.0,"2,340",Local Police
14749,GA,Tift County Sheriff's Office,"500 Morgan DrPO Box 46 Tifton, GA 31794",912-388-6020,59.0,"38,407",Sheriff
14751,GA,Tignall Police Department,"Post Office Box 218  Tignall, GA 30668",706-285-2551,1.0,653,Local Police
14752,GA,Toccoa Police Department,"Post Office Box 579  Toccoa, GA 30577",706-886-8655,31.0,"9,323",Local Police
14753,GA,Toombs County Sheriff's Office,"357 Nw Broad StSte #1 Lyons, GA 30436",912-526-6778,22.0,"26,067",Sheriff
14754,GA,Toomsboro Police Department,"Post Office Box 67  Toomsboro, GA 31090",912-933-5757,1.0,622,Local Police
14755,GA,Towns County Sheriff's Office,"4070A State Highway 339  Young Harris, GA 30582",706-896-4444,18.0,"9,319",Sheriff
14756,GA,Trenton Police Department,"P. O. Box 518  Trenton, GA 30752",706-657-4167,7.0,"1,942",Local Police
14757,GA,Treutlen County Sheriff's Office,"P.O. Box 316110 Third St Soperton, GA 30457",912-529-3222,10.0,"6,854",Sheriff
14758,GA,Trion Police Department,"City Hall  Trion, GA 30753",706-734-2332,8.0,"1,993",Local Police
14760,GA,Troup County Sheriff's Office,"130 Sam Walker Dr  Lagrange, GA 30241",706-883-1616,81.0,"58,779",Sheriff
14762,GA,Turner County Sheriff's Office,"1301 Industrial Dr  Ashburn, GA 31714",912-567-2401,17.0,"9,504",Sheriff
14764,GA,Twiggs County Sheriff's Office,"P.O. Box 65037 N Ash St Jeffersonville, GA 31044",912-945-3357,22.0,"10,590",Sheriff
14765,GA,Twin City Police Department,"P.O. BOX 980  Twin City, GA 30471",478-763-3228,2.0,"1,752",Local Police
14766,GA,Tybee Island Police Department,"Post Office Box 1340  Tybee Island, GA 31328",912-786-5600,18.0,"3,392",Local Police
14767,GA,Tyrone Police Department,"945 Senoia Road  Tyrone, GA 30290",770-487-4732,18.0,"3,916",Local Police
14768,GA,Union City Police Department,"5060 Union St  Union City, GA 30291",770-306-6862,63.0,"11,621",Local Police
14769,GA,Union County Sheriff's Office,"940 Beasley St  Blairsville, GA 30512",706-745-5250,32.0,"17,289",Sheriff
14770,GA,Union Point Police Department,"P.O. Box 233  Union Point, GA 30669",706-486-4102,8.0,"1,669",Local Police
14773,GA,Upson County Sheriff's Office,"235 Aviation Dr  Thomaston, GA 30286",706-647-7411,33.0,"27,597",Sheriff
14775,GA,Valdosta Police Department,"500 N. Toombs Street  Valdosta, GA 31601",912-293-3102,133.0,"43,724",Local Police
14777,GA,Varnell Police Department,"P.O. Box 62  Varnell, GA 30756",706-694-3141,3.0,"1,491",Local Police
14778,GA,Vidalia Police Department,"101 Durden Street  Vidalia, GA 30474",912-537-4123,33.0,"10,491",Local Police
14779,GA,Vienna Police Department,"P.O. Box 436  Vienna, GA 31092",912-268-7033,8.0,"2,973",Local Police
14780,GA,Villa Rica Police Department,"101 Main Street  Villa Rica, GA 30180",770-459-5149,36.0,"4,134",Local Police
14781,GA,Wadley Police Department,"Post Office Box 219  Wadley, GA 30477",478-252-5214,5.0,"2,088",Local Police
14782,GA,Walker County Sheriff's Office,"105 S Duke StPO Box 767 La Fayette, GA 30728",706-638-1909,80.0,"61,053",Sheriff
14783,GA,Walton County Sheriff's Office,"1425 S Madison Ave  Monroe, GA 30655",770-267-6557,123.0,"60,687",Sheriff
14785,GA,Ware County Sheriff's Office,"3487 Harris Rd  Waycross, GA 31503",912-287-4324,35.0,"35,483",Sheriff
14786,GA,Warm Springs Police Department,"P.O. Box 156  Warm Springs, GA 31830",706-655-9096,1.0,485,Local Police
14787,GA,Warner Robins Police Department,"Post Office Box 1488  Warner Robins, GA 31099",912-929-1161,112.0,"48,804",Local Police
14788,GA,Warren County Sheriff's Office,"P.O. Box 626  Warrenton, GA 30828",706-465-3340,5.0,"6,336",Sheriff
14789,GA,Warrenton Police Department,"P.O. Box 109  Warrenton, GA 30828",706-465-3309,8.0,"2,013",Local Police
14790,GA,Warwick Police Department,"P.O. BOX 59  Warwick, GA 31796",912-535-6283,1.0,430,Local Police
14792,GA,Washington County Sheriff's Office,"P.O. Drawer 30  Sandersville, GA 31082",912-552-4795,18.0,"21,176",Sheriff
14793,GA,Washington Police Department,"Post Office Box 9  Washington, GA 30673",706-678-3244,15.0,"4,295",Local Police
14794,GA,Watkinsville Police Department,"P.O. Box 27  Watkinsville, GA 30677",706-769-7891,6.0,"2,097",Local Police
14795,GA,Waverly Hall Police Department,"P.O. Box 357  Waverly Hall, GA 31831",706-582-2345,4.0,709,Local Police
14796,GA,Waycross Police Department,"512 Oak Street  Waycross, GA 31501",912-287-2921,54.0,"15,333",Local Police
14797,GA,Wayne County Sheriff's Office,"266 E Walnut St  Jesup, GA 31545",912-427-5970,28.0,"26,565",Sheriff
14798,GA,Waynesboro Police Department,"628 Myrick Street  Waynesboro, GA 30830",706-554-8029,17.0,"5,813",Local Police
14799,GA,Webster County Sheriff's Office,"175 Montgomery StPO Box 55 Preston, GA 31824",912-828-2515,3.0,"2,390",Sheriff
14801,GA,West Point Police Department,"P.O. Box 487  West Point, GA 31833",706-645-3525,15.0,"3,382",Local Police
14802,GA,Wheeler County Sheriff's Office,"P.O. Box 126  Alamo, GA 30411",912-568-7107,4.0,"6,179",Sheriff
14803,GA,Whigham Police Department,"P.O. Box 71  Whigham, GA 31797",912-762-3366,3.0,631,Local Police
14804,GA,White County Sheriff's Office,"1210 Hulsey Rd  Cleveland, GA 30528",706-865-6370,40.0,"19,944",Sheriff
14805,GA,White Police Department,"P.O. Box 116  White, GA 30184",770-382-9383,1.0,693,Local Police
14806,GA,Whitesburg Police Department,"788 Main Street  Whitesburg, GA 30185",770-832-1184,5.0,596,Local Police
14808,GA,Wilcox County Sheriff's Office,"22 Park Ave  Abbeville, GA 31001",912-467-2322,8.0,"8,577",Sheriff
14809,GA,Wilkes County Sheriff's Office,"225 Andrew Dr  Washington, GA 30673",706-678-2224,13.0,"10,687",Sheriff
14810,GA,Wilkinson County Sheriff's Office,"P.O. Box 178108 Bacon St Irwinton, GA 31042",478-946-2411,13.0,"10,220",Sheriff
14811,GA,Willacoochee Police Department,"Post Office Box 508  Willacoochee, GA 31650",912-534-5151,4.0,"1,434",Local Police
14812,GA,Winder Police Department,"94 North Broad Street  Winder, GA 30680",770-867-2156,44.0,"10,201",Local Police
14814,GA,Woodbury Police Department,"P.O. Box 297  Woodbury, GA 30293",706-553-2211,6.0,"1,184",Local Police
14815,GA,Woodstock Police Department,"103 Arnold Mill Road  Woodstock, GA 30188",770-592-6030,47.0,"10,050",Local Police
14816,GA,Worth County Sheriff's Office,"201 N Main St Ste 14  Sylvester, GA 31791",912-776-8211,22.0,"21,967",Sheriff
14818,GA,Wrightsville Police Department,"190 E. Elm St.2212 WEST ELM STREET Wrightsville, GA 31096",912-864-3941,7.0,"2,223",Local Police
14819,GA,Zebulon Police Department,"P.O. Box 385  Zebulon, GA 30295",770-567-8441,6.0,"1,181",Local Police
14820,FL,Alachua County Sheriff's Office,"P.O. Box 12102621 Hawthorne Rd Gainesville, FL 32602",352-367-4022,276.0,"217,955",Sheriff
14821,FL,Alachua Police Department,"Post Office Box 910  Alachua, FL 32616",904-462-1396,21.0,"6,098",Local Police
14822,FL,Altamonte Springs Police Department,"225 Newburyport Avenue  Altamonte Springs, FL 32701",407-571-8203,124.0,"41,200",Local Police
14823,FL,Altha Police Department,"Post Office Box 6  Altha, FL 32421",850-762-3900,1.0,506,Local Police
14824,FL,Apalachicola Police Department,"1 Avenue E  Apalachicola, FL 32320",850-653-9755,7.0,"2,334",Local Police
14825,FL,Apopka Police Department,"112 East 6Th Street  Apopka, FL 32703",407-703-1769,85.0,"26,642",Local Police
14826,FL,Arcadia Police Department,"Post Office Box 1014  Arcadia, FL 34265",863-993-4660,20.0,"6,604",Local Police
14827,FL,Astatula Police Department,"Post Office Box 172  Astatula, FL 34705",352-742-2422,5.0,"1,298",Local Police
14828,FL,Atlantic Beach Police Department,"850 Seminole Road  Atlantic Beach, FL 32233",904-247-5859,26.0,"13,368",Local Police
14829,FL,Atlantis Police Department,"260 Orange Tree Drive  Atlantis, FL 33462",561-965-1700,13.0,"2,005",Local Police
14830,FL,Auburndale Police Department,"2 Bobby Green Plaza  Auburndale, FL 33823",863-965-5555,35.0,"11,032",Local Police
14831,FL,Aventura Police Department,"19200 West Country Club Drive  Aventura, FL 33180",305-466-8989,85.0,"35,000",Local Police
14832,FL,Avon Park Police Department,"304 West Pleasant Street  Avon Park, FL 33825",863-453-6622,19.0,"8,542",Local Police
14833,FL,Baker County Sheriff's Office,"56 N 2Nd St  Macclenny, FL 32063",904-259-2231,42.0,"22,259",Sheriff
14834,FL,Bal Harbour Village Police Department,"655 96Th Street  Bal Harbour, FL 33154",305-866-5000,31.0,"3,305",Local Police
14835,FL,Bartow Police Department,"450 North Broadway Avenue  Bartow, FL 33830",863-534-5034,39.0,"15,340",Local Police
14836,FL,Bay County Sheriff's Office,"3421 Highway 77  Panama City, FL 32405",850-747-4700,213.0,"148,217",Sheriff
14838,FL,Bay Harbor Islands Police Department,"9665 Bay Harbor Terrace  Bay Harbor Islands, FL 33154",305-866-6242,22.0,"5,146",Local Police
14839,FL,Belleair Police Department,"901 Ponce De Leon Blvd.  Belleair, FL 33756",727-588-3783,12.0,"4,067",Local Police
14840,FL,Belleview Police Department,"5350 S.E. 110Th Street  Belleview, FL 34420",352-245-7044,15.0,"3,478",Local Police
14841,FL,Biscayne Park Police Department,"640 Northeast 114Th Street  Biscayne Park, FL 33161",305-899-8000,10.0,"3,269",Local Police
14842,FL,Blountstown Police Department,"16908 NE Pear Street  Blountstown, FL 32424",850-674-5987,8.0,"2,444",Local Police
14843,FL,Boca Raton Police Department,"100 N.W. 2Nd Avenue  Boca Raton, FL 33432",561-338-1338,188.0,"74,764",Local Police
14844,FL,Bonifay Police Department,"809 South Waukesha Street  Bonifay, FL 32425",850-547-3661,5.0,"4,078",Local Police
14845,FL,Bowling Green Police Department,"Post Office Box 608  Bowling Green, FL 33834",863-375-3549,7.0,"2,892",Local Police
14846,FL,Boynton Beach Police Department,"100 E. Boynton Beach Blvd.  Boynton Beach, FL 33435",561-742-6107,165.0,"60,389",Local Police
14847,FL,Bradenton Beach Police Department,"403 Highland Avenue  Bradenton Beach, FL 34217",941-778-6311,10.0,"1,482",Local Police
14848,FL,Bradenton Police Department,"100 10Th Street West  Bradenton, FL 34205",941-708-6273,122.0,"49,504",Local Police
14849,FL,Bradford County Sheriff's Office,"P.O. Box 400  Starke, FL 32091",904-964-6161,24.0,"26,088",Sheriff
14850,FL,Brevard County Sheriff's Office,"700 S Park Ave  Titusville, FL 32780",321-264-5202,497.0,"476,230",Sheriff
14852,FL,Brooksville Police Department,"87 Veterans Avenue  Brooksville, FL 34601",352-754-6800,24.0,"7,264",Local Police
14853,FL,Brookville Police Department,"462 Main St.  Brookville, FL 47012",765-647-4178,9.0,"2,652",Local Police
14856,FL,Broward County Sheriff's Office,"2601 W Broward Blvd  Fort Lauderdale, FL 33312",954-831-8930,1624.0,"1,623,018",Sheriff
14857,FL,Bunnell Police Department,"200 E. Court St.  Bunnell, FL 32110",904-437-7508,14.0,"2,122",Local Police
14859,FL,Calhoun County Sheriff's Office,"20776 Central Ave ESte 2 Blountstown, FL 32424",850-674-5049,18.0,"13,017",Sheriff
14860,FL,Cape Coral Police Department,"815 Nicholas Parkway  Cape Coral, FL 33990",941-573-3090,220.0,"102,286",Local Police
14861,FL,Carrabelle Police Department,"1001 Gray Ave  Carrabelle, FL 32322",850-697-3691,6.0,"1,303",Local Police
14862,FL,Casselberry Police Department,"4195 South U.S. 17-92  Casselberry, FL 32707",407-262-7616,52.0,"22,629",Local Police
14863,FL,Cedar Key Police Department,"Post Office Box 339  Cedar Key, FL 32625",352-543-5180,4.0,790,Local Police
14864,FL,Center Hill Police Department,"Post Office Box 649  Center Hill, FL 33514",352-793-4609,3.0,910,Local Police
14865,FL,Charlotte County Sheriff's Office,"7474 Utilities Rd  Punta Gorda, FL 33982",941-575-5212,285.0,"141,627",Sheriff
